gene_id	newerN2	newerS6	newerS5	thirdN2	thirdS5	thirdS6
WBGene00001168	5037.0	7803.0	3847.0	5592.0	6896.0	2033.0
WBGene00004409	3369.0	5371.0	2643.0	3627.0	4149.0	1811.0
WBGene00004494	3091.0	4966.0	2664.0	3511.0	4206.0	1567.0
WBGene00004408	3043.0	5093.0	2370.0	3154.0	3821.0	1664.0
WBGene00004492	3013.0	4644.0	2281.0	3194.0	3759.0	1555.0
WBGene00004478	3001.0	4398.0	2218.0	3089.0	3595.0	1428.0
WBGene00021350	2830.0	4643.0	2416.0	3118.0	3899.0	1608.0
WBGene00004421	2781.0	4139.0	2064.0	2947.0	3429.0	1174.0
WBGene00004477	2773.0	4450.0	2306.0	2986.0	3733.0	1270.0
WBGene00006439	2711.0	4416.0	2222.0	2834.0	3596.0	1027.0
WBGene00004480	2481.0	4031.0	1977.0	2671.0	3290.0	1132.0
WBGene00004430	2415.0	3922.0	1996.0	2419.0	3192.0	1321.0
WBGene00004472	2402.0	3834.0	1977.0	2675.0	3256.0	1212.0
WBGene00004452	2339.0	3842.0	1821.0	2489.0	2951.0	1249.0
WBGene00004493	2292.0	3643.0	1827.0	2578.0	3067.0	1223.0
WBGene00004481	2292.0	3779.0	1855.0	2650.0	3030.0	1235.0
WBGene00004474	2290.0	3679.0	1914.0	2410.0	2876.0	1139.0
WBGene00004425	2290.0	3518.0	1724.0	2301.0	2861.0	1032.0
WBGene00004476	2274.0	3674.0	1790.0	2450.0	2934.0	1133.0
WBGene00004441	2260.0	3184.0	1706.0	2379.0	2928.0	954.0
WBGene00004483	2230.0	3686.0	1808.0	2569.0	2949.0	1275.0
WBGene00006728	2222.0	3476.0	1716.0	2317.0	2746.0	1098.0
WBGene00004427	2210.0	3763.0	1863.0	2467.0	3097.0	1057.0
WBGene00004431	2194.0	3431.0	1713.0	2200.0	2916.0	1026.0
WBGene00004469	2164.0	3562.0	1822.0	2334.0	2925.0	1054.0
WBGene00016493	2148.0	3122.0	1624.0	2288.0	2515.0	997.0
WBGene00004436	2148.0	3467.0	1705.0	2331.0	2910.0	1167.0
WBGene00004484	2147.0	3154.0	1720.0	2279.0	2692.0	1030.0
WBGene00004433	2146.0	3433.0	1782.0	2323.0	2743.0	1102.0
WBGene00004414	2106.0	5045.0	2846.0	2466.0	4492.0	1388.0
WBGene00004454	2096.0	3299.0	1543.0	2269.0	2721.0	1107.0
WBGene00000214	2074.0	3553.0	1687.0	2522.0	2986.0	888.0
WBGene00004428	2072.0	3264.0	1657.0	2183.0	2790.0	975.0
WBGene00004456	2068.0	3172.0	1745.0	2094.0	2532.0	773.0
WBGene00004450	2058.0	3275.0	1600.0	2191.0	2653.0	1086.0
WBGene00004420	2038.0	3395.0	1649.0	2131.0	2643.0	980.0
WBGene00022336	2021.0	3613.0	1832.0	2167.0	2944.0	935.0
WBGene00004488	2016.0	3070.0	1574.0	2247.0	2608.0	957.0
WBGene00004429	1997.0	3403.0	1643.0	2205.0	2652.0	1034.0
WBGene00004487	1996.0	3131.0	1606.0	2169.0	2551.0	950.0
WBGene00004412	1945.0	3767.0	2027.0	2090.0	3082.0	1150.0
WBGene00004415	1927.0	3253.0	1546.0	2074.0	2665.0	888.0
WBGene00004496	1894.0	3094.0	1506.0	2129.0	2375.0	874.0
WBGene00004418	1888.0	3105.0	1621.0	2113.0	2631.0	925.0
WBGene00004470	1884.0	3134.0	1660.0	1926.0	2477.0	943.0
WBGene00001386	1866.0	2645.0	1389.0	2202.0	2766.0	678.0
WBGene00009119	1851.0	2952.0	1382.0	1989.0	2300.0	904.0
WBGene00004479	1847.0	2985.0	1670.0	2067.0	2420.0	832.0
