chr_id,gene_id,gene_name,N2_v_smg-6_Rep2_fishers_significant,N2_v_smg-5_Rep2_fishers_significant,N2_v_smg-6_Rep3_fishers_significant,N2_v_smg-5_Rep3_fishers_significant,fishers_hit_count,ramani2009_hit,muir2018_hit,kim_modena2022_smg6_hit,kim_modena2022_smg1_hit,mitrovich_hit,prev_identified_count,NMD_isoform_ID
V,WBGene00019466,tos-1,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,FALSE,3,FALSE
V,WBGene00003844,odc-1,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,FALSE,3,N/A
V,WBGene00016907,C53H9.2,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE
I,WBGene00004875,smd-1,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,TRUE,TRUE,FALSE,3,FALSE
III,WBGene00013947,ZK228.4,FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,TRUE,TRUE,FALSE,3,TRUE
V,WBGene00019250,H28G03.2,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,TRUE,FALSE,3,FALSE
V,WBGene00016496,C37C3.2,FALSE,FALSE,TRUE,FALSE,1,TRUE,TRUE,TRUE,TRUE,FALSE,3,N/A
V,WBGene00013560,zip-12,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,TRUE,TRUE,FALSE,3,N/A
I,WBGene00009957,F53B2.8,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,TRUE,TRUE,FALSE,3,N/A
V,WBGene00017565,ddo-2,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,FALSE,TRUE,FALSE,2.5,FALSE
II,WBGene00016432,C35B1.2,TRUE,FALSE,FALSE,FALSE,1,TRUE,TRUE,FALSE,TRUE,FALSE,2.5,FALSE
X,WBGene00004419,rpl-7A,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE
IV,WBGene00004414,rpl-3,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE
V,WBGene00022219,Y73B3A.18,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,2,FALSE
I,WBGene00008944,F19B2.5,TRUE,TRUE,TRUE,TRUE,4,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
X,WBGene00000755,col-182,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,TRUE,TRUE,FALSE,2,N/A
V,WBGene00004412,rpl-1,TRUE,FALSE,TRUE,TRUE,3,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE
III,WBGene00011059,R06C1.4,TRUE,FALSE,FALSE,TRUE,2,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE
IV,WBGene00004703,rsp-6,TRUE,TRUE,FALSE,FALSE,2,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE
IV,WBGene00004424,rpl-12,FALSE,FALSE,TRUE,TRUE,2,FALSE,TRUE,FALSE,FALSE,TRUE,2,TRUE
X,WBGene00004152,pqn-70,FALSE,FALSE,TRUE,TRUE,2,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE
IV,WBGene00016121,ift-43,FALSE,FALSE,TRUE,TRUE,2,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
IV,WBGene00013763,Y113G7B.14,FALSE,FALSE,FALSE,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,2,N/A
II,WBGene00004702,rsp-5,FALSE,FALSE,FALSE,FALSE,0,TRUE,TRUE,FALSE,FALSE,FALSE,2,TRUE
X,WBGene00020039,R12E2.14,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
I,WBGene00019327,zip-2,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
V,WBGene00007534,fubl-1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
V,WBGene00006959,xbp-1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
V,WBGene00001725,grl-16,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,FALSE
I,WBGene00020040,R12E2.15,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
X,WBGene00019236,H23N18.5,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
I,WBGene00006927,vit-3,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
II,WBGene00005018,sqt-3,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
V,WBGene00004398,rol-8,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
V,WBGene00004394,rol-1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
V,WBGene00000748,col-175,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
II,WBGene00000653,col-77,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,TRUE,FALSE,2,N/A
III,WBGene00019301,K02D10.1,FALSE,FALSE,FALSE,FALSE,0,FALSE,TRUE,FALSE,TRUE,FALSE,1.5,FALSE
IV,WBGene00006051,ssq-2,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,TRUE,FALSE,1.5,N/A
IV,WBGene00000718,col-145,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,FALSE,1.5,N/A
II,WBGene00000717,col-144,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE,FALSE,1.5,N/A
III,WBGene00006725,ubl-1,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE
X,WBGene00004444,rpl-30,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,TRUE
I,WBGene00017349,farl-11,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
III,WBGene00003704,nhr-114,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE
X,WBGene00022951,C30E1.9,TRUE,TRUE,TRUE,TRUE,4,FALSE,TRUE,FALSE,FALSE,FALSE,1,N/A
