gene_id,gene_name_new,gene_name
WBGene00000040,aco-1,aco-1
WBGene00000063,act-1,act-1
WBGene00000064,act-2,act-2
WBGene00000065,act-3,act-3
WBGene00000066,act-4,act-4
WBGene00000067,act-5,act-5
WBGene00000081,ads-1,ads-1
WBGene00000107,alh-1,alh-1
WBGene00000122,aly-3,aly-3
WBGene00000175,aqp-7,aqp-7
WBGene00000181,ard-1,ard-1
WBGene00000182,arf-1,arf-1.2
WBGene00000191,arl-7,arl-7
WBGene00000198,art-1,art-1
WBGene00000206,asb-1,asb-1
WBGene00000207,asb-2,asb-2
WBGene00000210,asg-2,asg-2
WBGene00000214,asp-1,asp-1
WBGene00000215,asp-2,asp-2
WBGene00000216,asp-3,asp-3
WBGene00000218,asp-5,asp-5
WBGene00000219,asp-6,asp-6
WBGene00000229,atp-2,atp-2
WBGene00000230,atp-3,atp-3
WBGene00000235,baf-1,baf-1
WBGene00000256,bli-6,bli-6
WBGene00000263,F23H11.5,F23H11.5
WBGene00000273,brp-1,brp-1
WBGene00000282,cah-4,cah-4
WBGene00000371,cox-5B,cox-5B
WBGene00000377,cct-1,cct-1
WBGene00000378,cct-2,cct-2
WBGene00000379,cct-4,cct-4
WBGene00000380,cct-5,cct-5
WBGene00000381,cct-6,cct-6
WBGene00000465,cpg-1,cpg-1
WBGene00000473,cey-2,cey-2
WBGene00000474,cey-3,cey-3
WBGene00000479,cgh-1,cgh-1
WBGene00000535,cpi-1,cpi-1
WBGene00000552,cmd-1,cmd-1
WBGene00000594,col-3,col-3
WBGene00000596,col-7,col-7
WBGene00000599,col-10,col-10
WBGene00000601,col-12,col-12
WBGene00000602,col-13,col-13
WBGene00000603,col-14,col-14
WBGene00000606,col-17,col-17
WBGene00000608,col-19,col-19
WBGene00000609,col-20,col-20
WBGene00000615,col-38,col-38
WBGene00000616,col-39,col-39
WBGene00000625,col-48,col-48
WBGene00000626,col-49,col-49
WBGene00000636,col-60,col-60
WBGene00000638,col-62,col-62
WBGene00000639,col-63,col-63
WBGene00000647,col-71,col-71
WBGene00000649,col-73,col-73
WBGene00000653,col-77,col-77
WBGene00000656,col-80,col-80
WBGene00000657,col-81,col-81
WBGene00000663,col-88,col-88
WBGene00000666,col-91,col-91
WBGene00000667,col-92,col-92
WBGene00000668,col-93,col-93
WBGene00000669,col-94,col-94
WBGene00000672,col-97,col-97
WBGene00000673,col-98,col-98
WBGene00000677,col-103,col-103
WBGene00000678,col-104,col-104
WBGene00000680,col-106,col-106
WBGene00000683,col-109,col-109
WBGene00000691,col-117,col-117
WBGene00000693,col-119,col-119
WBGene00000694,col-120,col-120
WBGene00000696,col-122,col-122
WBGene00000698,col-124,col-124
WBGene00000703,col-129,col-129
WBGene00000704,col-130,col-130
WBGene00000707,col-133,col-133
WBGene00000712,col-139,col-139
WBGene00000713,col-140,col-140
WBGene00000715,col-142,col-142
WBGene00000716,col-143,col-143
WBGene00000717,col-144,col-144
WBGene00000718,col-145,col-145
WBGene00000719,col-146,col-146
WBGene00000720,col-147,col-147
WBGene00000727,col-154,col-154
WBGene00000728,col-155,col-155
WBGene00000730,col-157,col-157
WBGene00000732,col-159,col-159
WBGene00000733,col-160,col-160
WBGene00000734,col-161,col-161
WBGene00000735,col-162,col-162
WBGene00000739,col-166,col-166
WBGene00000740,col-167,col-167
WBGene00000741,col-168,col-168
WBGene00000748,col-175,col-175
WBGene00000751,col-178,col-178
WBGene00000754,col-181,col-181
WBGene00000755,col-182,col-182
WBGene00000757,col-184,col-184
WBGene00000776,cpl-1,cpl-1
WBGene00000777,cpn-1,cpn-1
WBGene00000779,cpn-3,cpn-3
WBGene00000785,cpr-5,cpr-5
WBGene00000786,cpr-6,cpr-6
WBGene00000788,cpz-1,cpz-1
WBGene00000822,csq-1,csq-1
WBGene00000833,cts-1,cts-1
WBGene00000835,cuc-1,cuc-1
WBGene00000865,cyb-1,cyb-1
WBGene00000877,cyn-1,cyn-1
WBGene00000879,cyn-3,cyn-3
WBGene00000883,cyn-7,cyn-7
WBGene00000896,dad-1,dad-1
WBGene00000915,hsp-90,hsp-90
WBGene00000928,dao-2,dao-2
WBGene00000941,ddp-1,ddp-1
WBGene00000988,dhs-25,dhs-25
WBGene00001000,dim-1,dim-1
WBGene00001005,dlc-1,dlc-1
WBGene00001037,dnj-19,dnj-19
WBGene00001038,dnj-20,dnj-20
WBGene00001066,dpy-4,dpy-4
WBGene00001067,dpy-5,dpy-5
WBGene00001073,dpy-11,dpy-11
WBGene00001074,dpy-13,dpy-13
WBGene00001088,dpy-30,dpy-30
WBGene00001137,eat-6,eat-6
WBGene00001155,ech-6,ech-6
WBGene00001167,eef-2,eef-2
WBGene00001168,eef-1A.1,eef-1A.1
WBGene00001169,eef-1A.2,eef-1A.2
WBGene00001209,egl-45,egl-45
WBGene00001226,eif-3.C,eif-3.C
WBGene00001229,eif-3.F,eif-3.F
WBGene00001234,eif-6,eif-6
WBGene00001239,elo-1,elo-1
WBGene00001240,elo-2,elo-2
